,character,quote,scene,location,view,episode,date,series
0,PICARD ,"   Captain's log, Stardate 42303.7.   The Enterprise is bound for Star   Station India to rendezvous with   a Starfleet courier.",	EXT. DEEP SPACE (OPTICAL),DEEP SPACE,EXT.,"""Unnatural Selection""",1988-11-10,The Next Generation
1,PICARD ,   Hopefully the mission will   provide an opportunity to   evaluate our newest staff   officer...,	INT. ENTERPRISE - BRIDGE,ENTERPRISE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
2,PICARD ,"   In the short time she's been   aboard, Doctor Pulaski has   distinguished herself as a   meticulous and competent   physician. But can someone so   focused on her own specialty also   assume the broader duties of the   ship's Chief Medical Officer?",	INT. CAPTAIN'S QUARTERS,CAPTAIN'S QUARTERS,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
3,RINA,"   ... warp drive theory always came   easy for me, but I'm looking   forward to some hands on   experience.",	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
4,RIKER,   I'm sure we'll be able to   accommodate you.,	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
5,GEORDI,   I know what you mean. It's a   really electrifying experience   to be down there where the action   is. Whenever I push the drive   past warp six I still get a lump   in my throat.,	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
6,RIKER,       Can I get you another?,	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
7,RINA,   Tell me Commander. Is it the   custom on the Enterprise for the   First Officer to wait on   trainees?,	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
8,RIKER,"       If they were all like you, I'm   certain it would be.",	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
9,GEORDI,       What's it like these days at the   academy? Is Tsiolkovski still   teaching Propulsion Theory?,	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
10,RINA,   Are you kidding? They'll have   to tear down the building around   him. The first time I saw him...,	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
11,RIKER,   Same again.,	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
12,PULASKI,"   Good to see you, Commander. When   you missed your test this morning   we all feared the worst.",	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
13,RIKER,"       My apologies, Doctor. A minor   crisis...       in Engineering.",	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
14,PULASKI,"       You know, a Rheinman tissue   sample sounds a good deal worse   than it is. I can assure you   there's no discomfort involved.",	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
15,RIKER,   It's not that! It's just... my   duties are so diverse.       Suppose we leave the appointment   open?,	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
16,PULASKI,   Spontaneity is the sand in the   clockworks of science.,	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
17,RIKER,   But it's just an unimportant   detail...,	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
18,PULASKI,   If I didn't consider it important   I wouldn't insist. Don't force   me to relieve you of duty to make   my point.,	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
19,RIKER,   You can't be --       I'll work something out. But   my schedule is tight for the next   three or four days...,	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
20,PULASKI,       So I see.,	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
21,RINA,"   Beautiful, isn't it?",	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
22,GEORDI,   The most beautiful thing I know.,	INT. TEN-FORWARD,TE,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
23,PICARD,       Picard.,	INT. CAPTAIN'S QUARTERS,CAPTAIN'S QUARTERS,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
24,COM PANEL  ,"   Captain, this is the bridge.   We're receiving a distress signal   on an open sub-space frequency.",	INT. CAPTAIN'S QUARTERS,CAPTAIN'S QUARTERS,INT.,"""Unnatural Selection""",1988-11-10,The Next Generation
