,character,quote,scene,location,view,episode,date,series,file
0,BEVERLY,       What?,2    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
1,BEVERLY,"   Alright, come in.",2    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
2,BEVERLY,   Guinan... ? What are you doing   here?,2    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
3,GUINAN,   I need a doctor.,2    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
4,GUINAN,   Geordi beat me in straight sets   today.       I think I've got a case of tennis   elbow.,2    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
5,BEVERLY,   Go to Sickbay. I think Doctor   Selar is on duty.,2    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
6,GUINAN,   I don't want to see Selar. I   always see you. I'm particular   about my doctors.,2    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
7,BEVERLY,"   Well, you'd better get a new   one... because I'm not a doctor   on this ship anymore.",2    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
8,BEVERLY,"       Three days on the shuttle to   Starbase twenty-three... then a   transport back to Earth... I can   hear Admiral Brooks now, telling   me how I've disgraced Starfleet   Medical...       Then a leisurely day and a half   before the formal inquiry begins   and my career ends.",4    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
9,GUINAN,       Beverly.,4    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
10,GUINAN,   My elbow.,4    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
11,BEVERLY,   Your elbow... ?,4    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
12,BEVERLY,"   Alright, let me see it...",4    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
13,BEVERLY,   Does that hurt?,4    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
14,GUINAN,"   Yeah, right there...",4    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
15,BEVERLY,"   Tennis elbow, alright. Hold it   like this...",4    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
16,GUINAN,   I've never been to a formal   inquiry.,4    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
17,BEVERLY,   It's no big thing. Any doctor can   have one... all you have to do is   disobey orders... violate medical   ethics... cause an interstellar   incident...,4    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
18,GUINAN,"   That would do it, all right.",4    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
19,BEVERLY,       Make a fist.,4    INT. BEVERLY'S QUARTERS,BEVERLY'S QUARTERS,INT.,Suspicions,1993-02-25,The Next Generation,248.txt
