,character,quote,scene,location,view,episode,date,series
0,ARGRATHI COM,   All offenders prepare for   decontamination. Decontamination   will proceed immediately.,1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
1,RINN,   Miles Edward O'Brien.,1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
2,RINN,   The Argrathi Authority has been   conducting a review of your case.   Do you wish to add anything to the   official record?,1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
3,RINN,   No matter.       Your correction is completed. You   are free.,1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
4,O'BRIEN,   Free?,1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
5,RINN,   The crime of espionage requires a   minimum of fifteen cycles of   correction. You've been here for   twenty. It's time for you to go.,1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
6,O'BRIEN,   But I can't leave. Where would I   go?,1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
7,RINN,   That's not my concern.,1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
8,RINN,   Remove him.,1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
9,RINN,   There. It's done.,1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
10,O'BRIEN,   Major?,1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
11,KIRA,"   It's me, Chief.",1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
12,O'BRIEN,   But... it can't be. It's been   twenty years. You haven't changed   at all.,1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
13,RINN,   Only a few hours passed during   your correction.,1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
14,O'BRIEN,   I don't understand.,1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
15,KIRA,"   Chief, I know this is going to be   hard for you to accept, but... you   haven't been in prison. What you   experienced was an artificial   reality, an interactive program   that created memories of things   that never actually happened.",1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
16,O'BRIEN,   What?,1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
17,RINN,   The Major is correct.,1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
18,RINN,   We punish our offenders by giving   them memories of incarceration   modelled to fit each offender's   personality. It's more   efficient... and much more   effective than maintaining an   extensive prison system.,1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
19,KIRA,"       Which means everything you think   you experienced in prison,   everything you remember, didn't   happen. It wasn't real.",1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
20,O'BRIEN,"       It was to me, major. It was to   me.",1    INT. ARGRATHI CELL,ARGRATHI CELL,INT.,,1996-01-24,Deep Space Nine
21,SISKO,   Apparently he got curious about   some Argrathi technology and asked   a few too many questions.   Argrathi security arrested him and   charged him with espionage.,9    INT. O'BRIEN'S QUARTERS,O'BRIEN'S QUARTERS,INT.,,1996-01-24,Deep Space Nine
22,KEIKO,   Miles would never break a law   intentionally.,9    INT. O'BRIEN'S QUARTERS,O'BRIEN'S QUARTERS,INT.,,1996-01-24,Deep Space Nine
23,SISKO,"       I know that. But by the time the   Argrathi told us what'd happened,   they'd already carried out his   ""correction.""",9    INT. O'BRIEN'S QUARTERS,O'BRIEN'S QUARTERS,INT.,,1996-01-24,Deep Space Nine
24,KEIKO,   Can the memories they implanted be   removed?,9    INT. O'BRIEN'S QUARTERS,O'BRIEN'S QUARTERS,INT.,,1996-01-24,Deep Space Nine
25,SISKO,"   The Argrathi claim it's   impossible, but Doctor Bashir will   do his best.",9    INT. O'BRIEN'S QUARTERS,O'BRIEN'S QUARTERS,INT.,,1996-01-24,Deep Space Nine
26,KEIKO,       When can I see him?,9    INT. O'BRIEN'S QUARTERS,O'BRIEN'S QUARTERS,INT.,,1996-01-24,Deep Space Nine
27,SISKO,   As soon as Doctor Bashir gives his   okay.,9    INT. O'BRIEN'S QUARTERS,O'BRIEN'S QUARTERS,INT.,,1996-01-24,Deep Space Nine
